[2016-04-13 09:45:59] test_EmployeeInfo.py [Test Case:test_9adelete_Employee] [line:803]INFO:开始执行测试...
[2016-04-13 09:46:04] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:46:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:46:07] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:46:18] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-13 09:46:18] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:46:27] test_Organization.py [Test Case:to_Organization] [line:55]INFO:等待页面刷新···
[2016-04-13 09:46:31] test_Organization.py [Test Case:to_Organization] [line:58]INFO:刷新完成！！！
[2016-04-13 09:46:45] test_Organization.py [Test Case:clickButton] [line:121]INFO:保存成功！
[2016-04-13 09:46:45] test_Organization.py [Test Case:tearDown] [line:348]INFO:该条用例执行完毕！！！
[2016-04-13 09:46:55] test_Organization.py [Test Case:to_Organization] [line:55]INFO:等待页面刷新···
[2016-04-13 09:46:56] test_Organization.py [Test Case:to_Organization] [line:58]INFO:刷新完成！！！
[2016-04-13 09:47:07] test_Organization.py [Test Case:tearDown] [line:348]INFO:该条用例执行完毕！！！
[2016-04-13 09:47:17] test_Organization.py [Test Case:to_Organization] [line:55]INFO:等待页面刷新···
[2016-04-13 09:47:18] test_Organization.py [Test Case:to_Organization] [line:58]INFO:刷新完成！！！
[2016-04-13 09:47:27] test_Organization.py [Test Case:tearDown] [line:348]INFO:该条用例执行完毕！！！
[2016-04-13 09:47:37] test_Organization.py [Test Case:to_Organization] [line:55]INFO:等待页面刷新···
[2016-04-13 09:47:38] test_Organization.py [Test Case:to_Organization] [line:58]INFO:刷新完成！！！
[2016-04-13 09:47:52] test_Organization.py [Test Case:clickButton] [line:121]INFO:保存成功！
[2016-04-13 09:48:00] test_Organization.py [Test Case:tearDown] [line:348]INFO:该条用例执行完毕！！！
[2016-04-13 09:48:09] test_Organization.py [Test Case:to_Organization] [line:55]INFO:等待页面刷新···
[2016-04-13 09:48:11] test_Organization.py [Test Case:to_Organization] [line:58]INFO:刷新完成！！！
[2016-04-13 09:48:24] test_Organization.py [Test Case:clickButton] [line:93]INFO:删除成功
[2016-04-13 09:48:24] test_Organization.py [Test Case:tearDown] [line:348]INFO:该条用例执行完毕！！！
[2016-04-13 09:48:29] test_RoleInfo.py [Test Case:test_0add_Role] [line:135]INFO:开始执行用例...
[2016-04-13 09:48:34] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-13 09:48:35] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-13 09:48:43] test_RoleInfo.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-13 09:48:43] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-13 09:48:47] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:194]INFO:开始执行用例...
[2016-04-13 09:48:52] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-13 09:48:53] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-13 09:48:58] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:216]INFO:等待页面刷新···
[2016-04-13 09:48:58] test_RoleInfo.py [Test Case:test_1search_ByRoleCode] [line:218]INFO:刷新完成！！！
[2016-04-13 09:48:58] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-13 09:49:03] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:228]INFO:开始执行用例...
[2016-04-13 09:49:08] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
[2016-04-13 09:49:09] test_RoleInfo.py [Test Case:to_RoleInfo] [line:58]INFO:刷新完成！！！
[2016-04-13 09:49:12] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:245]INFO:等待页面刷新···
[2016-04-13 09:49:12] test_RoleInfo.py [Test Case:test_2search_ByRoleName] [line:247]INFO:刷新完成！！！
[2016-04-13 09:49:12] test_RoleInfo.py [Test Case:tearDown] [line:384]INFO:该条用例执行完毕！！！
[2016-04-13 09:49:17] test_RoleInfo.py [Test Case:test_3search_ByRoleState] [line:257]INFO:开始执行用例...
[2016-04-13 09:49:22] test_RoleInfo.py [Test Case:to_RoleInfo] [line:56]INFO:等待页面刷新···
