[2016-04-11 13:43:03] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:43:04] test_OnlinePromotion.py [Test Case:test_emodify_AddRedemption_com] [line:833]INFO:等待界面刷新~~~
[2016-04-11 13:43:04] test_OnlinePromotion.py [Test Case:test_emodify_AddRedemption_com] [line:836]INFO:刷新完成！！！
[2016-04-11 13:43:07] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:43:15] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:43:17] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:43:21] test_OnlinePromotion.py [Test Case:test_fmodify_DeleteRedemption_com] [line:902]INFO:开始执行用例...
[2016-04-11 13:43:26] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:43:27] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:43:39] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:43:39] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:43:40] test_OnlinePromotion.py [Test Case:test_fmodify_DeleteRedemption_com] [line:911]INFO:等待界面刷新~~~
[2016-04-11 13:43:40] test_OnlinePromotion.py [Test Case:test_fmodify_DeleteRedemption_com] [line:914]INFO:刷新完成！！！
[2016-04-11 13:43:44] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:43:47] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:43:47] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:43:51] test_OnlinePromotion.py [Test Case:test_gmodify_AddDonation] [line:949]INFO:开始执行用例...
[2016-04-11 13:43:56] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:43:57] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:44:10] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:44:10] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:44:11] test_OnlinePromotion.py [Test Case:test_gmodify_AddDonation] [line:959]INFO:等待界面刷新~~~
[2016-04-11 13:44:11] test_OnlinePromotion.py [Test Case:test_gmodify_AddDonation] [line:962]INFO:刷新完成！！！
[2016-04-11 13:44:15] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:44:21] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:44:23] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:44:28] test_OnlinePromotion.py [Test Case:test_hmodify_DeleteDonation] [line:1029]INFO:开始执行用例...
[2016-04-11 13:44:33] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:44:34] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:44:46] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:44:46] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:44:47] test_OnlinePromotion.py [Test Case:test_hmodify_DeleteDonation] [line:1038]INFO:等待界面刷新~~~
[2016-04-11 13:44:47] test_OnlinePromotion.py [Test Case:test_hmodify_DeleteDonation] [line:1041]INFO:刷新完成！！！
[2016-04-11 13:44:50] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:44:53] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:44:53] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:44:58] test_OnlinePromotion.py [Test Case:test_imodify_AddTriggerPoint] [line:1074]INFO:开始执行用例...
[2016-04-11 13:45:03] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:45:04] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:45:16] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:45:16] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:45:17] test_OnlinePromotion.py [Test Case:test_imodify_AddTriggerPoint] [line:1084]INFO:等待界面刷新~~~
[2016-04-11 13:45:17] test_OnlinePromotion.py [Test Case:test_imodify_AddTriggerPoint] [line:1087]INFO:刷新完成！！！
[2016-04-11 13:45:24] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:45:26] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:45:31] test_OnlinePromotion.py [Test Case:test_jmodify_DeleteTriggerPoint] [line:1145]INFO:开始执行用例...
[2016-04-11 13:45:36] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:45:37] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:45:49] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:45:49] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:45:50] test_OnlinePromotion.py [Test Case:test_jmodify_DeleteTriggerPoint] [line:1155]INFO:等待界面刷新~~~
[2016-04-11 13:45:50] test_OnlinePromotion.py [Test Case:test_jmodify_DeleteTriggerPoint] [line:1158]INFO:刷新完成！！！
[2016-04-11 13:45:52] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:45:53] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:45:58] test_OnlinePromotion.py [Test Case:test_kmodify_AddPayment] [line:1176]INFO:开始执行用例...
[2016-04-11 13:46:03] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:46:04] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:46:16] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:46:16] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:46:17] test_OnlinePromotion.py [Test Case:test_kmodify_AddPayment] [line:1186]INFO:等待界面刷新~~~
[2016-04-11 13:46:17] test_OnlinePromotion.py [Test Case:test_kmodify_AddPayment] [line:1189]INFO:刷新完成！！！
[2016-04-11 13:46:19] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:46:21] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:46:26] test_OnlinePromotion.py [Test Case:test_ldelete_DeletePayment] [line:1216]INFO:开始执行用例...
[2016-04-11 13:46:31] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:46:32] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:46:44] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:46:44] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:46:45] test_OnlinePromotion.py [Test Case:test_ldelete_DeletePayment] [line:1226]INFO:等待界面刷新~~~
[2016-04-11 13:46:45] test_OnlinePromotion.py [Test Case:test_ldelete_DeletePayment] [line:1229]INFO:刷新完成！！！
[2016-04-11 13:46:48] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:46:49] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:46:53] test_OnlinePromotion.py [Test Case:test_mdelete_Promotion] [line:1252]INFO:开始执行用例...
[2016-04-11 13:46:58] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:46:59] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:47:09] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:47:09] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
